Id,Job Title,Company,Location,Date Posted,Position,Employment Type,Minimum Education,Category,Industry
220961,Custodian Leader  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-02 09:58:56.932040+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
184175,Business Consultant - Penempatan Jakarta Selatan  ,Cyber Future Forex,"South Jakarta, Indonesia",2023-04-12 08:14:59.497893+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus SMA,Management and Consultancy,Financial Services
219455,"Merchandiser FRESH (Chicken, Meat, and Fish Category) for PRIMARO  ",PRIMARO,"Jakarta Barat, Indonesia",2023-04-11 09:22:34.222465+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Information Technology / IT
223092,Telesales Respresentative  ,Cyber Future Forex,"Jakarta, Indonesia",2023-04-12 04:13:14.403428+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus SMA,Sales and Marketing,Financial Services
216705,Bancassurance Officer (Area: DKI Jakarta & Jawa Barat)  ,PT Panin Dai-Ichi Life (Bancassurance),"Central Jakarta, Indonesia",2023-04-17 08:47:39.059551+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Diploma (D3),Sales and Marketing,
223096,Business Consultant  ,Cyber Future Forex,"Jakarta Utara, Indonesia",2023-04-12 04:29:37.353735+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus SMA,Sales and Marketing,Financial Services
152018,Data Analyst  ,PT Bank Central Asia Tbk,"Central Jakarta, Indonesia",2023-02-03 08:34:31.075996+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Management and Consultancy,Financial Services
222651,Central Leader  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-04-18 05:53:47.835601+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
222618,Asset Officer (Contract-Based)  ,PT Berlian Sistem Informasi,"East Jakarta, Indonesia",2023-03-31 02:54:03.363905+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),General Services,Information Technology / IT
215824,Business Intelligence Instructor  ,Algoritma,"Jakarta, Indonesia",2023-04-14 08:35:58.305014+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Education and Training,Professional Training
127238,Backend Developer  ,PT Global Urban Esensial,"South Tangerang, Indonesia",2023-04-14 02:53:51.305237+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Health / Fitness
166785,IT Quality Assurance Automation - Pakuwon Tower Recruitment Center IGLO  ,PT. Indocyber Global Technology,"South Jakarta, Indonesia",2023-04-11 05:48:16.414974+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
223207,Customer Service - Branch Tasikmalaya  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-04-13 09:35:23.200369+00:00,Lulusan Baru / Junior,Kontrak,Lulus program Sarjana (S1),Customer Service,Financial Services
215831,B2B Sales Manager  ,Dekoruma,"Kota Jakarta Barat, Indonesia",2023-04-06 08:15:48.430519+00:00,Mid-Senior Level Manager,Kontrak,Lulus program Sarjana (S1),Sales and Marketing,E-Commerce
222321,Growth Marketing Associate  ,Hangry,"Jakarta Barat, Indonesia",2023-03-27 03:00:02.435906+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Food / Beverages
223056,Professional Development Program - Technology  ,PT BCA Finance,"South Jakarta, Indonesia",2023-04-11 09:23:06.368496+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
222943,Business Account Manager  ,PT Mobilitas Digital Indonesia,"East Jakarta, Indonesia",2023-04-06 07:37:19.624368+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Logistics & Transportation
222990,BCA Development Program IT (BDP IT)  ,PT Bank Central Asia Tbk,"Central Jakarta, Indonesia",2023-04-12 02:22:52.042423+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
223387,Centro Data Video Editing Staff  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-04-17 06:00:32.473901+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
214491,Brand Marketing  ,SKINTIFIC,"Jakarta Selatan, Indonesia",2023-03-20 04:59:47.972077+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Cosmetics
216381,B2B Commercial Sales Account  ,PT Mobilitas Digital Indonesia,"East Jakarta, Indonesia",2023-03-31 07:35:38.953837+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Diploma (D3),Sales and Marketing,Logistics & Transportation
143921,ETL Developer  ,PT IDStar Cipta Teknologi,"South Jakarta, Indonesia",2023-03-30 03:48:26.802729+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
212247,Business Intelligence Developer  ,Magna Solusi Indonesia,"Jakarta Selatan, Indonesia",2023-03-31 03:56:46.432405+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
110900,Backend Engineer  ,FinAccel,"Jakarta Pusat, Indonesia",2023-01-03 05:04:56.857414+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
220752,IT Infrastructure Engineering  ,PT Prodia Widyahusada Tbk. (Prodia),"Central Jakarta, Indonesia",2023-04-18 07:09:42.002735+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Hospital / Health Care
221787,Collector  ,Sinar Metrindo Perkasa,"Jakarta Barat, Indonesia",2023-04-04 02:48:14.737826+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Diploma (D3),General Services,Electrical / Electronic Manufacturing
166273,Credit Analyst (Retail Underwriter Officer)  ,Astra Credit Companies (ACC),"Yogyakarta, Indonesia",2023-03-24 02:49:32.365563+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Financial Services
221651,Learning Operations Manager  ,Rakamin Academy,"South Jakarta, Indonesia",2023-04-04 08:15:59.270274+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Education and Training,Education Management
215588,Sales Officer (Placement in Bali)  ,"DOKU, PT NUSA SATU INTI ARTHA","South Jakarta, Indonesia",2023-04-03 05:25:34.205150+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Financial Services
110900,Backend Engineer  ,FinAccel,"Jakarta Pusat, Indonesia",2023-01-03 05:04:56.857414+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
222642,Kepala Produksi Bread Crumb  ,Sharon Bakery (PT Multi Star Rukun Abadi),"Bandung Kabupaten, Indonesia",2023-03-31 07:38:41.421054+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Manufacturing and Production,Food Production
222325,Field Audit - Kupang  ,PT BFI Finance Indonesia Tbk,"Kupang, Indonesia",2023-03-27 03:00:42.877447+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Financial Services
218779,Finance Manager  ,PT Fajar Gelora Inti,"Jakarta Pusat, Indonesia",2023-04-03 02:07:26.098040+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Building Materials
213605,Data Analytics Head  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-14 08:31:14.600763+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
217882,Product Owner  ,PT Global Urban Esensial,"South Tangerang, Indonesia",2023-03-24 03:13:46.728383+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Health / Fitness
223209,Technical Consultant  ,"PT Metrodata Electronics, Tbk","Jakarta, Indonesia",2023-04-13 07:20:34.424214+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,IT and Software
167693,.Net Developer  ,PT Astra Graphia Information Technology,"Kota Jakarta Pusat, Indonesia",2023-04-10 09:08:36.115902+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,IT and Software
194739,IT Microservices Architecture  ,PT Prodia Widyahusada Tbk. (Prodia),"Central Jakarta, Indonesia",2023-03-02 02:42:37.756344+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Hospital / Health Care
213083,IT Product Management  ,PT Berlian Sistem Informasi,"Jakarta Timur, Indonesia",2023-02-23 06:06:04.822383+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
222864,Design Internship  ,Little Palmerhaus (PT Indo Trade Cemerlang),"Tangerang Kota, Indonesia",2023-04-06 05:01:11.839402+00:00,Magang / OJT,Penuh waktu,Lulus program Sarjana (S1),Media and Creatives,Apparel / Fashion
220634,Sales Supervisor - SP Jember  ,Sharon Bakery (PT Multi Star Rukun Abadi),"Jember, Indonesia",2023-02-24 08:54:17.564079+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Food Production
223193,Lead Data Engineer  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-04-13 03:28:03.867170+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
214999,Account Executive  ,MileApp,"West Jakarta, Indonesia",2023-03-21 02:14:03.579225+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Diploma (D3),Sales and Marketing,Information Technology / IT
212247,Business Intelligence Developer  ,Magna Solusi Indonesia,"Jakarta Selatan, Indonesia",2023-03-31 03:56:46.432405+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
217111,Java Developer  ,28Grup,"Jakarta Selatan, Indonesia",2023-03-28 06:16:18.985028+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Nickel Mining
221651,Learning Operations Manager  ,Rakamin Academy,"South Jakarta, Indonesia",2023-04-04 08:15:59.270274+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Education and Training,Education Management
116560,Back End Developer  ,PT. Jasa Teknologi Informasi IBM,"Central Jakarta, Indonesia",2023-03-20 03:46:33.667893+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
222381,Account Receivables Officer  ,Jakarta Intercultural School,"South Jakarta, Indonesia",2023-03-28 02:35:09.173434+00:00,Supervisor / Asisten Manager,Kontrak,Lulus program Sarjana (S1),Accounting and Finance,Education Management
222329,iOS Jr. Developer  ,PT Phintraco Technology,"South Jakarta City, Indonesia",2023-03-27 03:06:05.218301+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
166273,Credit Analyst (Retail Underwriter Officer)  ,Astra Credit Companies (ACC),"Yogyakarta, Indonesia",2023-03-24 02:49:32.365563+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Financial Services
221411,Data Scientist  ,Home Credit Indonesia,"South Jakarta, Indonesia",2023-03-09 07:03:23.275698+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Hi-Tech Financial Services
215588,Sales Officer (Placement in Bali)  ,"DOKU, PT NUSA SATU INTI ARTHA","South Jakarta, Indonesia",2023-04-03 05:25:34.205150+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Financial Services
110900,Backend Engineer  ,FinAccel,"Jakarta Pusat, Indonesia",2023-01-03 05:04:56.857414+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
221947,Customer Development Leader - Food Service (CDL FS) Jakarta  ,Kraft Heinz ABC Indonesia,"South Jakarta, Indonesia",2023-03-21 04:22:37.582201+00:00,Supervisor / Asisten Manager,Kontrak,Lulus program Diploma (D3),Sales and Marketing,Food Production
222642,Kepala Produksi Bread Crumb  ,Sharon Bakery (PT Multi Star Rukun Abadi),"Bandung Kabupaten, Indonesia",2023-03-31 07:38:41.421054+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Manufacturing and Production,Food Production
222325,Field Audit - Kupang  ,PT BFI Finance Indonesia Tbk,"Kupang, Indonesia",2023-03-27 03:00:42.877447+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Financial Services
218779,Finance Manager  ,PT Fajar Gelora Inti,"Jakarta Pusat, Indonesia",2023-04-03 02:07:26.098040+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Building Materials
221928,Product Development Specialist | PinjamModal  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-17 09:08:32.884172+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Management and Consultancy,Financial Services
222642,Kepala Produksi Bread Crumb  ,Sharon Bakery (PT Multi Star Rukun Abadi),"Bandung Kabupaten, Indonesia",2023-03-31 07:38:41.421054+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Manufacturing and Production,Food Production
222864,Design Internship  ,Little Palmerhaus (PT Indo Trade Cemerlang),"Tangerang Kota, Indonesia",2023-04-06 05:01:11.839402+00:00,Magang / OJT,Penuh waktu,Lulus program Sarjana (S1),Media and Creatives,Apparel / Fashion
222325,Field Audit - Kupang  ,PT BFI Finance Indonesia Tbk,"Kupang, Indonesia",2023-03-27 03:00:42.877447+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Accounting and Finance,Financial Services
221425,Branch Operation Management  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-03-09 09:45:40.165057+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
222786,Business Analyst (Digital Process Automation)  ,PT BCA Finance,"South Jakarta, Indonesia",2023-04-04 03:32:14.204321+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
223209,Technical Consultant  ,"PT Metrodata Electronics, Tbk","Jakarta, Indonesia",2023-04-13 07:20:34.424214+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,IT and Software
219422,.NET Developer  ,MITech,"Jakarta, Indonesia",2023-04-10 03:36:33.975524+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
167693,.Net Developer  ,PT Astra Graphia Information Technology,"Kota Jakarta Pusat, Indonesia",2023-04-10 09:08:36.115902+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,IT and Software
214999,Account Executive  ,MileApp,"West Jakarta, Indonesia",2023-03-21 02:14:03.579225+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Diploma (D3),Sales and Marketing,Information Technology / IT
223193,Lead Data Engineer  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-04-13 03:28:03.867170+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
223230,SPG/SPB  ,PT LAKU6 ONLINE INDONESIA,"Jakarta, Indonesia",2023-04-14 09:28:42.852225+00:00,Lulusan Baru / Junior,Pekerja lepas / Freelance,Lulus program Diploma (D3),Sales and Marketing,Marketplace
220478,Credit & Industry Specialist  ,Astra Financial,"Central Jakarta City, Indonesia",2023-04-11 03:27:42.825410+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Management and Consultancy,Financial Services
220634,Sales Supervisor - SP Jember  ,Sharon Bakery (PT Multi Star Rukun Abadi),"Jember, Indonesia",2023-02-24 08:54:17.564079+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,Food Production
221541,System Analyst  ,SEVIMA,"Surabaya, Indonesia",2023-03-13 07:06:55.896701+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
158920,Sr. iOS Engineer  ,FinAccel,"South Jakarta, Indonesia",2023-01-24 04:03:43.441749+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
223253,Research Assistant (Contract Based) - Universitas Multimedia Nusantara  ,Kompas Gramedia,"Tangerang, Indonesia",2023-04-14 04:49:08.327471+00:00,Lulusan Baru / Junior,Pekerja lepas / Freelance,Lulus program Sarjana (S1),Administration and Coordination,Media Production
223415,Risk Control Assistant (Mandarin Speaker)  ,AdaPundi,"Jakarta Selatan, Indonesia",2023-04-17 09:29:53.581943+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),Administration and Coordination,Financial Services
223240,Accounting Intern  ,Siloam Hospitals Group,"Tangerang Kota, Indonesia",2023-04-14 02:52:27.313316+00:00,Magang / OJT,Kontrak,Lulus program Sarjana (S1),Accounting and Finance,Hospital / Health Care
223483,General Administration  ,Hastari Corporation,"Tangerang, Indonesia",2023-04-18 06:24:15.748215+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Diploma (D3),Administration and Coordination,Investment Management / Hedge Fund / Private Equity
189674,Associate Product Manager (Jakarta and Malang)  ,paper.id,"North Jakarta, Indonesia",2023-04-06 08:52:15.185378+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
223283,IT Compliance  ,PT IONPay Networks (NICEPAY),"South Jakarta, Indonesia",2023-04-14 08:43:40.775754+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
220401,BFI Finance X Arkavidia - Data Architect  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-02-21 04:23:41.565746+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
222694,iOS Developer  ,PT Midas Daya Teknologi,"Jakarta, Indonesia",2023-04-11 08:20:39.305129+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
220398,BFI Finance X Arkavidia - Data Engineer  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-02-21 04:27:12.087236+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
222170,Backend Developer  ,Kompas Gramedia,"West Jakarta, Indonesia",2023-03-24 02:58:39.108428+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Media Production
221926,"Bancassurance Officer (Area: Balikpapan, Banjarmasin, Batam, Pekanbaru, Tebing Tinggi, Rantau Prapat)  ",PT Panin Dai-Ichi Life (Bancassurance),"Banjarmasin, Indonesia",2023-03-17 09:05:41.038060+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),Sales and Marketing,
223126,Telemarketer  ,Cyber Future Forex,"Jakarta, Indonesia",2023-04-12 07:57:27.156662+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus SMA,Sales and Marketing,Financial Services
216821,Risk Infrastructure & Reliability Specialist  ,Investree,"Jakarta, Indonesia",2023-03-24 03:07:34.595656+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Lending Marketplace
222994,Product Marketing Internship  ,OY! Indonesia,"Kota Jakarta Selatan, Indonesia",2023-04-10 08:58:33.922253+00:00,Magang / OJT,Paruh waktu,Lulus program Sarjana (S1),Sales and Marketing,Information Technology / IT
219646,"DevOps, SAP & Data Analyst Bootcamp  ",PT Berlian Sistem Informasi,"Jakarta Timur, Indonesia",2023-03-01 08:04:59.319622+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
220401,BFI Finance X Arkavidia - Data Architect  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-02-21 04:23:41.565746+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
220398,BFI Finance X Arkavidia - Data Engineer  ,PT BFI Finance Indonesia Tbk,"Tangerang, Indonesia",2023-02-21 04:27:12.087236+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Financial Services
222695,Business Operation Associate  ,paper.id,"North Jakarta, Indonesia",2023-04-13 06:48:46.007493+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Diploma (D3),IT and Software,Information Technology / IT
222994,Product Marketing Internship  ,OY! Indonesia,"Kota Jakarta Selatan, Indonesia",2023-04-10 08:58:33.922253+00:00,Magang / OJT,Paruh waktu,Lulus program Sarjana (S1),Sales and Marketing,Information Technology / IT
219646,"DevOps, SAP & Data Analyst Bootcamp  ",PT Berlian Sistem Informasi,"Jakarta Timur, Indonesia",2023-03-01 08:04:59.319622+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
179289,Senior Content Writer  ,paper.id,"North Jakarta, Indonesia",2023-03-15 06:30:31.219669+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),Writing and Content,Information Technology / IT
221228,Online Sales Advisor (Interior)  ,Dekoruma,"Kota Jakarta Barat, Indonesia",2023-03-14 08:40:39.394215+00:00,Lulusan Baru / Junior,Kontrak,Lulus program Diploma (D3),Sales and Marketing,E-Commerce
160917,Back-end Engineer  ,Investree,"South Jakarta, Indonesia",2023-03-20 04:19:13.176050+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Lending Marketplace
222920,Talent Acquisition Manager  ,paper.id,"North Jakarta, Indonesia",2023-04-06 02:34:11.865913+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
217001,Presales SSA  ,Mitra Solusi Infokom,"Jakarta Barat, Indonesia",2023-04-12 04:22:11.128081+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
206700,Backend Developer  ,PCS Group,"Tangerang Selatan, Indonesia",2023-02-22 05:49:43.388351+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
172751,Machine Learning Engineer  ,Nomura Research Institute Indonesia,"Jakarta Pusat, Indonesia",2023-01-16 03:32:50.142442+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
220732,Account Manager  ,SEVIMA,"Surabaya, Indonesia",2023-02-28 03:00:01.867186+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Diploma (D3),Sales and Marketing,Information Technology / IT
189674,Associate Product Manager (Jakarta and Malang)  ,paper.id,"North Jakarta, Indonesia",2023-04-06 08:52:15.185378+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
222694,iOS Developer  ,PT Midas Daya Teknologi,"Jakarta, Indonesia",2023-04-11 08:20:39.305129+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
219646,"DevOps, SAP & Data Analyst Bootcamp  ",PT Berlian Sistem Informasi,"Jakarta Timur, Indonesia",2023-03-01 08:04:59.319622+00:00,Lulusan Baru / Junior,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Information Technology / IT
220732,Account Manager  ,SEVIMA,"Surabaya, Indonesia",2023-02-28 03:00:01.867186+00:00,Supervisor / Asisten Manager,Penuh waktu,Lulus program Diploma (D3),Sales and Marketing,Information Technology / IT
149091,IT Security Specialist  ,Home Credit Indonesia,"South Jakarta, Indonesia",2023-04-04 02:45:05.665806+00:00,Mid-Senior Level Manager,Penuh waktu,Lulus program Sarjana (S1),IT and Software,Hi-Tech Financial Services
